true_label,predicted_label,confidence
0,0,2.275670154126559e-20
0,0,7.183848553063782e-17
1,0,0.30949804186820984
0,0,8.956812613640508e-13
0,0,6.44498763711053e-14
0,0,4.4537040366776637e-07
0,0,0.00032124266726896167
0,0,1.8502786360841128e-06
0,0,3.3149422762335234e-08
0,0,5.713756690006733e-10
0,0,0.00029810593696311116
0,0,2.7942920030253292e-18
0,0,3.90743127771546e-16
0,0,0.0006735596107318997
1,1,0.5000830888748169
0,0,2.300464757354348e-06
0,0,1.5339203149905142e-21
0,0,6.377470888701093e-23
0,0,8.93966500825627e-08
0,0,1.2521329806336468e-10
0,0,3.3470534439324464e-15
1,0,0.40549951791763306
1,0,0.40918102860450745
0,0,2.8006018901985006e-31
0,0,0.000745220051612705
0,0,1.985191374842543e-05
1,0,0.4971516728401184
0,0,9.199101983631275e-13
0,0,1.149480358987598e-13
1,1,0.5043071508407593
0,0,6.430774594054787e-31
0,0,3.228563250079475e-11
0,0,0.4917066991329193
0,0,5.793156014988199e-05
1,1,0.5051150321960449
1,1,0.5050304532051086
0,0,1.5989279233963316e-08
0,0,1.9541342155537933e-10
1,0,0.3862753212451935
0,0,1.396634058403734e-10
1,0,0.4937680661678314
0,1,0.5077940821647644
0,0,5.321168310666591e-13
0,0,0.0038974040653556585
0,0,3.823304344359662e-36
0,0,7.329314399839859e-08
0,0,6.361574775904418e-17
0,0,7.227785173398185e-29
0,0,6.309532757375891e-12
0,0,8.597837709606828e-18
0,1,0.5059586763381958
0,0,2.2356522724310135e-34
1,0,0.4833050072193146
0,0,1.7747718401180517e-33
0,0,1.6862776366227683e-12
0,0,2.0654508382542717e-32
0,0,9.51652154974024e-14
0,0,1.6706334804439393e-07
0,0,0.45154550671577454
0,1,0.5109176635742188
0,0,3.239966346428591e-13
0,0,7.808053601675077e-17
0,0,4.827100941184881e-10
0,0,1.1150724441022497e-11
0,0,0.36656463146209717
0,0,4.917285579933249e-18
0,0,0.0008674091659486294
0,0,1.3325935678282913e-14
0,0,0.17962467670440674
0,0,9.529447308134513e-23
0,0,5.430763477809464e-11
0,0,1.2615740674348785e-09
0,1,0.5047852993011475
0,0,2.6649303208614583e-07
0,0,0.08240809291601181
0,0,1.0978744456472728e-23
0,0,6.0150250646984205e-06
0,0,1.6920441285074583e-13
0,0,2.1746589818799864e-28
0,0,0.0008511294727213681
0,0,1.3622813987979043e-10
1,1,0.507556676864624
0,1,0.5029208064079285
0,0,6.402420954509935e-11
0,0,0.49899306893348694
0,0,0.00024282066442538053
0,0,3.2662444482411956e-06
0,0,0.41143742203712463
0,0,1.059907216150332e-16
1,0,0.4704116880893707
0,0,2.4576554125133043e-08
0,0,1.053857801025515e-08
0,0,3.678007308519059e-17
0,0,1.0091275909624367e-16
0,0,6.638710414730298e-11
0,0,1.3360562656217212e-12
1,1,0.5047852993011475
0,0,9.269340807804838e-06
0,0,1.1365909602378821e-10
0,0,1.9647987663934385e-12
0,0,4.187400710451533e-21
0,0,0.007240484934300184
0,0,0.0005483795539475977
0,0,4.539027070699971e-26
0,0,1.6099087929433153e-07
0,0,0.00029619986889883876
0,0,8.211445745587298e-09
0,0,4.190442723484011e-06
0,0,3.319499374066728e-30
0,0,2.8409352236143104e-13
0,0,8.418723496106395e-07
0,0,0.4915490746498108
0,0,0.4182344377040863
0,0,5.540266023729146e-10
0,0,6.81639931503978e-29
0,0,1.1815458611508234e-09
0,0,4.853182742833861e-13
1,0,0.24732963740825653
0,0,1.1309207829110837e-14
0,0,2.1656187954022244e-09
0,0,2.1089701437038838e-13
0,0,0.3559510111808777
0,0,7.100014625162145e-18
0,0,1.4962969752119193e-09
0,0,0.0023842821829020977
0,0,2.3168205093120064e-13
0,0,0.0
0,0,0.0007886573439463973
0,0,1.8477110119707874e-10
0,0,5.847489159549468e-11
1,0,0.4481697678565979
0,0,2.1376414979901618e-18
0,0,0.0002191394887631759
0,0,5.950604418103467e-07
0,0,7.80040849690522e-08
0,0,1.231030844617417e-14
0,0,1.0290764007725272e-19
0,0,4.665673781206869e-18
0,0,1.749255796636151e-12
0,0,2.5394501674045063e-19
0,0,4.21885511687212e-15
1,0,0.4751962423324585
0,0,3.391701808297398e-09
